Symbol  Freq
=10   22108
=13   22108
=32  197375
!      1768
"      3113
#         1
$         4
%         1
&         2
'      2932
(       235
)       235
*        73
,     19382
-      6059
.      7913
/        26
0       160
1       201
2        78
3        60
4        49
5        67
6        44
7        64
8        69
9        47
:       219
;      4179
?      1004
@         2
A      2725
B      1466
C      1184
D       802
E      1361
F       864
G       751
H      1497
I      3641
J       261
K       185
L       959
M       782
N      1241
O      1050
P      1158
Q       323
R       895
S      2277
T      2568
U       284
V       181
W      1326
X        25
Y       360
Z        38
[         3
]         3
_         4
a     76231
b     15699
c     21937
d     37967
e    117606
f     20363
g     20488
h     61946
i     62945
j       915
k      8011
l     42337
m     22871
n     65428
o     69647
p     16553
q      1244
r     52445
s     62734
t     86981
u     26933
v      8540
w     21174
x      1037
y     16849
z       598
»         1
¿         1
ï         1
Total chars = 1257274
